Player,Country,Career,Matches,Won,Lost,Tied,Toss
"Ponting, R T",Australia,1995-2012,230,165 ,51 ,14 ,124 
"Fleming, S P",New Zealand,1994-2007,218,98 ,106 ,14 ,105 
"Ranatunga, A",Sri Lanka,1982-1999,193,89 ,95 ,9 ,102 
"Dhoni, M S*",India,2004-,186,103 ,68 ,15 ,88 
"Border, A R",Australia,1979-1994,178,107 ,67 ,4 ,86 
"Azharuddin, M",India,1985-2000,174,89 ,77 ,8 ,96 
"Smith, G C",South Africa,2002-2013,149,91 ,51 ,7 ,74 
"Ganguly, S C",India,1992-2007,147,76 ,66 ,5 ,74 
"Cronje, W J",South Africa,1992-2000,140,99 ,37 ,4 ,74 
Imran Khan,Pakistan,1974-1992,139,75 ,59 ,5 ,70 
"Jayawardene, D P M",Sri Lanka,1998-2015,130,72 ,49 ,9 ,60 
"Lara, B C",West Indies,1990-2007,125,59 ,59 ,7 ,57 
"Jayasuriya, S T",Sri Lanka,1989-2011,117,65 ,47 ,5 ,61 
Wasim Akram,Pakistan,1984-2003,109,66 ,41 ,2 ,58 
"Waugh, S R",Australia,1986-2002,106,67 ,35 ,4 ,48 
"Richards, I V A",West Indies,1975-1991,105,67 ,36 ,2 ,43 
"Pollock, S M",South Africa,1996-2008,98,60 ,34 ,4 ,49 
Inzamam-ul-Haq,Pakistan,1991-2007,89,52 ,33 ,4 ,50 
Misbah-ul-Haq*,Pakistan,2002-,87,45 ,39 ,3 ,37 
"Richardson, R B",West Indies,1983-1996,87,46 ,36 ,5 ,45 
"Campbell, A D R",Zimbabwe,1992-2003,86,30 ,52 ,4 ,42 
"Lloyd, C H",West Indies,1973-1985,84,64 ,18 ,2 ,41 
"Vettori, D L",New Zealand,1997-2015,82,41 ,33 ,8 ,47 
"Dravid, R",India,1996-2011,79,42 ,33 ,4 ,46 
"de Villiers, A B*",South Africa,2005-,76,44 ,28 ,4 ,41 
"Mathews, A D*",Sri Lanka,2008-,75,40 ,32 ,3 ,37 
"Clarke, M J",Australia,2003-2015,74,50 ,21 ,3 ,30 
Kapil Dev,India,1978-1994,74,40 ,32 ,2 ,39 
"Tikolo, S O",Kenya,1996-2014,73,27 ,44 ,2 ,36 
"Tendulkar, S R",India,1989-2012,72,23 ,42 ,7 ,41 
"Cook, A N*",England,2006-,69,36 ,30 ,3 ,39 
Habibul Bashar,Bangladesh,1995-2007,69,29 ,40 ,0 ,31 
"Utseya, P*",Zimbabwe,2004-,69,20 ,48 ,1 ,39 
"Streak, H H",Zimbabwe,1993-2005,68,18 ,47 ,3 ,29 
"Taylor, M A",Australia,1989-1997,67,36 ,30 ,1 ,34 
"Atapattu, M S",Sri Lanka,1990-2007,63,35 ,27 ,1 ,32 
Javed Miandad,Pakistan,1975-1996,62,26 ,33 ,3 ,29 
"Strauss, A J",England,2003-2011,62,27 ,33 ,2 ,31 
Waqar Younis,Pakistan,1989-2003,62,37 ,23 ,2 ,33 
"Mendis, L R D",Sri Lanka,1975-1989,61,11 ,46 ,4 ,29 
"Porterfield, W T S*",Ireland,2006-,61,28 ,27 ,6 ,30 
"Howarth, G P",New Zealand,1975-1985,60,31 ,26 ,3 ,23 
"Vaughan, M P",England,2001-2007,60,32 ,22 ,6 ,28 
"Chigumbura, E*",Zimbabwe,2004-,56,16 ,40 ,0 ,36 
"Hussain, N",England,1989-2003,56,28 ,27 ,1 ,28 
"McCullum, B B*",New Zealand,2002-,55,30 ,21 ,4 ,27 
"Gayle, C H*",West Indies,1999-,53,17 ,30 ,6 ,26 
"Flower, A",Zimbabwe,1992-2003,52,12 ,35 ,5 ,28 
"Gooch, G A",England,1976-1995,50,24 ,23 ,3 ,22 
"Sammy, D J G*",West Indies,2004-,50,18 ,30 ,2 ,22 
"Wessels, K C",Australia,1983-1994,50,20 ,28 ,2 ,23 
"Chappell, G S",Australia,1971-1983,49,21 ,25 ,3 ,29 
"Hooper, C L",West Indies,1987-2003,49,23 ,24 ,2 ,17 
"Hughes, K J",Australia,1977-1985,49,21 ,23 ,5 ,31 
Shakib Al Hasan*,Bangladesh,2006-,49,23 ,26 ,0 ,20 
"Sangakkara, K C",Sri Lanka,2000-2015,45,27 ,14 ,4 ,25 
"Crowe, M D",New Zealand,1982-1995,44,21 ,22 ,1 ,28 
"Atherton, M A",England,1990-1998,43,20 ,21 ,2 ,20 
"Walsh, C A",West Indies,1985-2000,43,22 ,20 ,1 ,20 
"Stewart, A J",England,1989-2003,41,15 ,25 ,1 ,18 
"Gavaskar, S M",India,1974-1987,38,14 ,22 ,2 ,19 
Mohammad Ashraful,Bangladesh,2001-2013,38,8 ,30 ,0 ,25 
Shahid Afridi*,Pakistan,1996-,38,19 ,18 ,1 ,18 
"Gatting, M W",England,1977-1993,37,26 ,11 ,0 ,18 
Mushfiqur Rahim*,Bangladesh,2006-,37,11 ,24 ,2 ,20 
"Rutherford, K R",New Zealand,1985-1995,37,10 ,24 ,3 ,18 
"Bravo, D J J*",West Indies,2004-,36,16 ,18 ,2 ,17 
"Germon, L K",New Zealand,1994-1997,36,15 ,19 ,2 ,17 
Shoaib Malik*,Pakistan,1999-,36,24 ,12 ,0 ,17 
Moin Khan,Pakistan,1990-2004,34,20 ,14 ,0 ,20 
Saleem Malik,Pakistan,1982-1999,34,21 ,11 ,2 ,14 
"Taylor, B R M",Zimbabwe,2004-2015,34,9 ,25 ,0 ,21 
"Morgan, E J G*",England,2006-,33,15 ,17 ,1 ,21 
"Johnston, D T*",Ireland,2006-,32,14 ,15 ,3 ,16 
"Borren, P W*",Netherlands,2006-,31,10 ,19 ,2 ,11 
"Romaine, I H",Bermuda,2006-2009,31,6 ,25 ,0 ,13 
"Wright, J G",New Zealand,1978-1992,31,16 ,15 ,0 ,21 
Khaled Mashud,Bangladesh,1995-2006,30,4 ,24 ,2 ,14 
"Bailey, G J*",Australia,2012-,29,16 ,10 ,3 ,13 
"Taibu, T",Zimbabwe,2001-2012,29,2 ,27 ,0 ,12 
"Willis, R G D",England,1973-1984,29,16 ,13 ,0 ,14 
Mashrafe Bin Mortaza*,Bangladesh,2001-,28,20 ,8 ,0 ,11 
Mohammad Nabi*,Afghanistan,2009-,28,13 ,15 ,0 ,12 
"Bagai, A*",Canada,2003-,27,8 ,18 ,1 ,16 
"Adams, J C",West Indies,1992-2001,26,10 ,14 ,2 ,18 
"Dilshan, T M*",Sri Lanka,1999-,26,11 ,15 ,0 ,13 
"Brearley, J M",England,1977-1980,25,15 ,9 ,1 ,11 
"Collingwood, P D",England,2001-2011,25,11 ,12 ,2 ,8 
"Coney, J V",New Zealand,1979-1987,25,8 ,16 ,1 ,13 
Rashid Latif,Pakistan,1992-2003,25,13 ,12 ,0 ,13 
"Gower, D I",England,1978-1991,24,10 ,13 ,1 ,15 
Aamir Sohail,Pakistan,1990-2000,22,9 ,12 ,1 ,7 
Nawroz Mangal*,Afghanistan,2009-,22,12 ,10 ,0 ,11 
Ramiz Raja,Pakistan,1985-1997,22,7 ,13 ,2 ,15 
Younis Khan*,Pakistan,2000-,22,8 ,14 ,0 ,10 
"Karim, A Y A",Kenya,1996-2003,21,6 ,15 ,0 ,8 
"Odumbe, M O",Kenya,1996-2003,20,1 ,18 ,1 ,11 
"Taylor, L R*",New Zealand,2006-,20,6 ,12 ,2 ,10 
